,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
455,8083,Noah Katterbach,18,1319,0,0.10139559954404831,0,0.2531184032559395,3,9,2,0,D S,FC Cologne,0,0.10139559954404831,2.5602440517395735,2.389847356826067
456,8092,Tom Krauß,1,1,0,0,0,0,0,0,0,0,S,RasenBallsport Leipzig,0,0,0,0
457,8114,Tobias Raschl,1,23,0,0,0,0,0,0,0,0,S,Borussia Dortmund,0,0,0,0
458,8117,Nick Woltemade,5,86,0,0.023466700688004494,0,0.0608487194404006,1,2,0,0,F S,Werder Bremen,0,0.023466700688004494,0.032857720740139484,0
459,8137,Maximilian Beier,6,93,0,0.9995740056037903,0,0.055103201419115067,5,1,1,0,S,Hoffenheim,0,0.9995740056037903,1.5886479616165161,0.5339720249176025
460,8148,Timo Becker,10,336,0,0.1883751004934311,0,0.23799650184810162,4,4,0,0,D M S,Schalke 04,0,0.1883751004934311,1.1375068183988333,0.9443253185600042
461,8171,Hannes Wolf,5,45,0,0,0,0.018010500818490982,0,1,0,0,S,RasenBallsport Leipzig,0,0,0.042402900755405426,0.024392399936914444
462,8191,Giovanni Reyna,15,339,0,0.22576939314603806,1,0.9767965916544199,4,5,2,0,F M S,Borussia Dortmund,0,0.22576939314603806,3.9279921017587185,3.267911072820425
463,8192,Melayro Bogarde,2,49,0,0.04172720015048981,0,0,1,0,1,0,D S,Hoffenheim,0,0.04172720015048981,0,0
464,8205,Jan Thielmann,12,556,0,0.2835384029895067,1,0.11975120007991791,8,3,2,0,M S,FC Cologne,0,0.2835384029895067,0.49857010319828987,0.1346219014376402
465,8206,Yannik Keitel,3,178,0,0.07130029797554016,0,0.22059500217437744,2,1,0,0,M S,Freiburg,0,0.07130029797554016,0.4613780081272125,0.1981740966439247
466,8207,Oliver Batista Meier,1,12,0,0,0,0,0,0,0,0,S,Bayern Munich,0,0,0,0
467,8213,Paulo Otávio,5,378,0,0.08456050045788288,1,0.7658969834446907,3,9,3,0,D S,Wolfsburg,0,0.08456050045788288,1.053748071193695,0.4521961882710457
468,8274,Samúel Kári Fridjónsson,5,187,0,0,0,0,0,0,1,0,M S,Paderborn,0,0,0.28752999007701874,0.28752999007701874
469,8299,Toni Leistner,13,1006,0,0.37982819974422455,0,0.04843359999358654,3,2,3,0,D S,FC Cologne,0,0.37982819974422455,2.3595612570643425,2.3434772714972496
470,8301,Antony Evans,6,148,0,0.03202139958739281,0,0.6156609915196896,2,4,0,0,M S,Paderborn,0,0.03202139958739281,0.6563915777951479,0.03490559943020344
471,8317,Edmond Tapsoba,14,1058,0,0.2026000041514635,0,0.09155210107564926,3,1,2,0,D S,Bayer Leverkusen,0,0.2026000041514635,4.677477435674518,4.573185713496059
472,8325,Exequiel Palacios,3,176,0,0.23665600270032883,0,0.12038570083677769,5,3,0,0,M S,Bayer Leverkusen,0,0.23665600270032883,0.876098021864891,0.5597850903868675
473,8335,Mamoudou Karamoko,1,7,0,0,0,0,0,0,0,0,S,Wolfsburg,0,0,0.10706999897956848,0.10706999897956848
474,8337,Luca Horn,1,3,0,0,0,0,0,0,0,0,S,Wolfsburg,0,0,0,0
475,8341,Lazar Samardzic,3,37,0,0,0,0,0,0,0,0,S,Hertha Berlin,0,0,0,0
476,8378,Malick Thiaw,4,70,0,0.008482090197503567,0,0,1,0,0,0,S,Schalke 04,0,0.008482090197503567,0.11304059624671936,0.10455849766731262
477,8393,Omar Marmoush,5,68,0,0.06925970315933228,0,0,1,0,0,0,S,Wolfsburg,0,0.06925970315933228,0.32136571407318115,0.2521060109138489
478,8394,Ilay Elmkies,1,1,0,0,0,0,0,0,0,0,S,Hoffenheim,0,0,0,0
479,8396,Jessic Ngankam,4,73,0,0,1,0.6678102780133486,0,2,0,0,S,Hertha Berlin,0,0,0.7146139796823263,0.04680370166897774
480,8403,Jan-Luca Rumpf,1,90,0,0.1075970008969307,0,0,1,0,0,0,D,Paderborn,0,0.1075970008969307,0.010655100457370281,0.010655100457370281
481,8406,Can Bozdogan,3,237,0,0.0711321011185646,0,0.01235590036958456,4,1,0,1,M,Schalke 04,0,0.0711321011185646,0.1293102027848363,0.05817790050059557
482,8407,Tim Lemperle,1,14,0,0.06051979959011078,0,0,1,0,0,0,S,FC Cologne,0,0.06051979959011078,0,0
483,8418,Jamal Musiala,1,1,0,0,0,0,0,0,0,0,S,Bayern Munich,0,0,0,0
484,8421,Jonas Hofmann,1,1,0,0,0,0,0,0,0,0,S,Schalke 04,0,0,0,0
485,8430,Chris Richards,1,5,0,0,0,0,0,0,0,0,S,Bayern Munich,0,0,0,0
486,8502,Dennis Borkowski,1,5,0,0,0,0,0,0,0,0,S,RasenBallsport Leipzig,0,0,0,0
