,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
0,2097,Lionel Messi,33,2876,25,20.849658865481615,20,16.593371644616127,159,88,4,0,F M S,Barcelona,20,17.133270878344774,34.92347752302885,13.537661855109036
1,2370,Karim Benzema,37,3176,21,21.250917490571737,8,8.153261815197766,124,59,0,0,F S,Real Madrid,16,17.53466046229005,31.533145129680634,10.845872787758708
2,2120,Gerard Moreno,35,2781,18,15.308769090101123,5,7.582541819661856,89,50,5,0,F M S,Villarreal,17,13.822208134457469,23.274223695509136,6.311412166804075
3,2098,Luis Suárez,28,1989,16,13.913955833762884,8,3.169744683429599,79,26,4,0,F S,Barcelona,15,13.170677836984396,18.988983687013388,4.4664437137544155
4,2400,Raúl García,35,2899,15,11.14502702280879,1,1.6823153821751475,81,22,11,0,F M S,Athletic Club,8,5.942345682531595,6.844848230481148,1.7427509054541588
5,1109,Lucas Ocampos,33,2775,14,12.395087233744562,3,3.778463574126363,85,24,8,1,F M S,Sevilla,9,8.678957973606884,15.10665655322373,5.216317692771554
6,2290,Iago Aspas,37,3283,14,14.93534362129867,3,4.865393972024322,84,57,9,0,F M,Celta Vigo,9,9.732398377731442,16.32193814776838,6.6322346441447735
7,1235,Ante Budimir,35,2807,13,10.887495037168264,2,1.0852131973952055,56,13,12,0,F S,Mallorca,11,9.400936741381884,12.438691513612866,3.1601230558007956
8,1804,Álvaro Morata,34,2120,12,14.975813066586852,2,4.497369632124901,69,25,4,1,F S,Atletico Madrid,10,12.746108060702682,18.26270261220634,3.417553212493658
9,866,Joselu,36,2800,11,11.799099151976407,2,1.9428744604811072,87,15,6,0,F S,Alaves,10,11.055822153575718,11.244492571800947,2.1454410199075937
10,965,Santiago Cazorla,35,2472,11,8.852406987920403,9,7.984716769307852,49,71,3,0,M S,Villarreal,3,2.906182263046503,20.0450070630759,13.102960212156177
11,1700,Lucas Pérez,34,2519,11,9.509712405037135,5,6.674580060876906,48,63,4,0,F S,Alaves,6,5.7937057125382125,11.4958789027296,3.727855382487178
12,2070,Carlos Fernández,34,2165,11,9.813482068479061,3,2.9137023547664285,47,20,8,0,F M S,Granada,10,9.07019903510809,13.351636449806392,2.693647664040327
13,2246,Sergio Ramos,35,3025,11,10.652956835925579,0,0.5280061885714531,39,5,10,0,D,Real Madrid,5,6.193417650647461,13.225682379677892,10.92506705224514
14,2361,Willian José,37,2031,11,11.714212365448475,1,1.6425518821924925,59,19,4,0,F S,Real Sociedad,11,11.714212365448475,12.541564602404833,1.5674191005527973
15,2566,Roger,36,2291,11,10.069972266443074,1,2.754709193482995,57,25,4,1,F S,Levante,7,7.097113692201674,11.975531068630517,3.126762129366398
16,7009,Jaime Mata,34,2792,11,11.404727221466601,3,3.577843138948083,56,29,14,0,F S,Getafe,8,8.432257548905909,13.855682353489101,4.461362764239311
17,2234,Mikel Oyarzabal,37,3086,10,8.038322017528117,11,8.172672441229224,62,51,4,0,F M S,Real Sociedad,6,5.065470418892801,16.71888624690473,6.107305509969592
18,4136,Ángel,32,1352,10,8.195408936589956,3,2.512610899284482,53,18,6,0,F S,Getafe,9,7.452130910009146,9.774861289188266,3.322936985641718
19,6124,Maxi Gómez,33,2168,10,6.880587270483375,2,3.2487857528030872,41,14,5,0,F S,Valencia,10,6.137309243902564,9.62685807980597,2.03829831071198
20,6528,Loren Morón,36,2013,10,7.656631122343242,2,2.7074483912438154,51,17,2,1,F S,Real Betis,10,7.656631122343242,10.834606749005616,2.0900079058483243
