,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
0,2371,Cristiano Ronaldo,33,2807,29,29.838080540299416,3,3.854639131575823,167,36,3,0,F S,Juventus,23,23.747807636857033,28.635408580303192,8.915713196620345
1,594,Romelu Lukaku,36,2885,24,23.425761096179485,11,8.387606982141733,97,53,4,0,F S,Inter,18,18.85796343535185,30.672939762473106,5.996651898138225
2,1229,Luis Muriel,36,1434,22,16.69221208244562,8,4.887805109843612,86,46,0,0,F M S,Atalanta,20,14.408358044922352,23.75210902094841,6.238759083673358
3,7084,Dusan Vlahovic,37,2945,21,18.47659022733569,3,2.2961632944643497,86,18,1,0,F S,Fiorentina,15,13.908836300484836,14.827188201248646,1.5626247003674507
4,1209,Ciro Immobile,35,2887,20,19.77111872844398,6,7.202587214298546,119,54,3,1,F S,Lazio,16,13.68072753213346,24.116883251816034,4.969875447452068
5,1362,Simy,38,2935,20,17.47387995570898,2,1.525829304009676,64,27,1,0,F S,Crotone,12,11.38356663659215,13.730488548055291,2.165550235658884
6,1393,Lorenzo Insigne,35,2888,19,17.347502633929253,7,9.122006066143513,144,63,2,1,F M S,Napoli,12,11.257102621719241,27.06416542828083,12.546444866806269
7,1612,Domenico Berardi,30,2494,17,14.489954987540841,7,6.099211188964546,113,58,4,0,D F M S,Sassuolo,10,8.399760433472693,19.3198859449476,7.612012619152665
8,7006,Lautaro Martínez,38,2598,17,16.887195516377687,6,6.3103544022887945,109,38,5,0,F M S,Inter,15,15.364597965031862,23.09420534595847,3.8611143939197063
9,1592,João Pedro,37,3273,16,13.289643744006753,3,5.296103684231639,75,38,4,0,F M,Cagliari,12,9.483153296634555,17.20094309654087,6.281496572308242
10,1148,Duván Zapata,37,2407,15,18.03863985836506,9,6.08406893350184,98,42,0,0,F M S,Atalanta,14,17.277340568602085,27.761002134531736,7.628689471632242
11,1741,Zlatan Ibrahimovic,19,1503,15,16.254984244704247,2,1.4163753855973482,80,19,2,1,F S,AC Milan,12,11.687309190630913,11.79189470410347,3.0064300671219826
12,317,Henrikh Mkhitaryan,34,2752,13,12.416659481823444,10,8.947890466079116,82,48,2,0,F M S,Roma,12,11.655360467731953,28.586254842579365,10.100948265753686
13,1186,Andrea Belotti,35,2915,13,13.569569863379002,6,7.065984427928925,106,38,4,0,F S,Torino,9,9.763118781149387,16.29298414848745,1.811144103296101
