,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
250,8049,Jean-Kevin Duverne,27,2014,1,0.7203704994171858,0,0.5822707023471594,10,4,4,0,D S,Brest,1,0.7203704994171858,7.161378828808665,6.6925707664340734
251,8094,Mathis Cherki,27,663,1,1.2114495169371367,3,1.944522600620985,18,13,1,1,F M S,Lyon,1,1.2114495169371367,5.334747731685638,3.0995704866945744
252,8119,Boubacar Traore,2,50,1,0.01893750997260213,0,0,2,0,0,0,S,Metz,1,0.01893750997260213,0.10260089859366417,0.08366339653730392
253,8166,Mehdi Zerkane,27,1189,1,1.8150127045810223,1,1.5286982078105211,15,14,3,1,F M S,Bordeaux,1,1.8150127045810223,5.92996316216886,3.2296993918716908
254,8314,Yvann Maçon,6,540,1,0.037147801369428635,1,0.08432500064373016,2,1,2,0,D,Saint-Etienne,1,0.037147801369428635,0.730221588164568,0.6930737867951393
255,8316,Roger Assalé,17,836,1,0.9483013972640038,0,0.18589960783720016,10,3,0,1,F M S,Dijon,1,0.9483013972640038,2.0223093815147877,1.0552656929939985
256,8629,Aurelien Scheidler,10,335,1,0.7022165060043335,0,0.6563866883516312,8,5,1,0,F S,Dijon,1,0.7022165060043335,1.7401957102119923,0.4875601064413786
257,8640,Adrien Truffert,29,1968,1,0.9464823007583618,3,2.4274095101282,24,21,3,0,D M S,Rennes,1,0.9464823007583618,8.366732224822044,5.659574795514345
258,8644,Eliot Matazo,10,303,1,0.9125363752245903,1,0.44945050962269306,3,3,0,1,M S,Monaco,1,0.9125363752245903,1.5453471764922142,0.1833598054945469
259,8646,Wout Faes,33,2903,1,1.5466954805888236,0,0.052215199917554855,11,2,11,2,D,Reims,1,1.5466954805888236,4.515692522749305,4.367794217541814
260,8657,Jeremy Le Douaron,28,799,1,1.5898629240691662,2,0.5692638978362083,13,9,0,0,M S,Brest,1,1.5898629240691662,2.6844583563506603,0.7743811123073101
261,8660,Jordan Lotomba,30,2138,1,0.2965560471639037,0,1.4187501892447472,8,12,5,1,D M S,Nice,1,0.2965560471639037,6.447508320212364,5.197599768638611
262,8662,Dan Ndoye,28,497,1,0.59242819622159,1,0.6314754039049149,12,5,0,0,F M S,Nice,1,0.59242819622159,2.2141122855246067,1.1244889302179217
263,8663,Flavius Daniliuc,23,1458,1,0.5692207580432296,0,0.46440270729362965,9,3,0,0,D S,Nice,1,0.5692207580432296,3.3774145077914,2.7360118832439184
264,8677,Lilian Brassier,11,966,1,0.41267319675534964,1,0.7718648202717304,6,5,3,0,D,Brest,1,0.41267319675534964,1.150716702453792,1.0661025075241923
265,8687,Kiki Kouyate,25,1958,1,1.225078335031867,0,0.19810920115560293,13,3,10,0,D S,Metz,1,1.225078335031867,2.0856497222557664,1.863748618401587
266,8689,Yvan Neyou,31,2469,1,1.1752024088054895,2,2.3264434076845646,30,15,9,0,M S,Saint-Etienne,1,1.1752024088054895,8.31392362061888,5.370348289608955
267,8701,Timothee Pembele,6,379,1,0.7890267744660378,0,0.11393969878554344,4,2,1,0,D S,Paris Saint Germain,1,0.7890267744660378,1.6142199635505676,0.9298177883028984
268,8759,David Pereira Da Costa,8,145,1,0.5483440086245537,1,0.08871279656887054,2,2,0,0,M S,Lens,1,0.5483440086245537,1.3278653174638748,0.7791050150990486
269,8970,Sékou Mara,8,225,1,0.48043498396873474,2,0.5211809873580933,4,2,0,0,F S,Bordeaux,1,0.48043498396873474,0.9219460785388947,0.15272490493953228
270,9279,Krépin Diatta,12,382,1,0.7304205894470215,0,0.06570200063288212,3,2,3,0,D M S,Monaco,1,0.7304205894470215,0.9865015968680382,0.20583689399063587
271,9298,Alexis Flips,2,36,1,0.03250040113925934,0,0,2,0,0,0,S,Reims,1,0.03250040113925934,0.03250040113925934,0
272,9342,Malik Sellouki,4,59,1,0.16670259833335876,0,0,4,0,1,0,S,Nice,1,0.16670259833335876,0.1184638999402523,0.0225140992552042
273,9378,Issouf Sissokho,6,69,1,0.05804099887609482,0,0,2,0,2,0,S,Bordeaux,1,0.05804099887609482,0.509942002594471,0.509942002594471
274,9448,Dion Moise Sahi,6,80,1,0.40438439324498177,0,0.061743990518152714,4,2,0,0,S,Strasbourg,1,0.40438439324498177,0.5687034018337727,0.16431859880685806
