iter	Passed	Remaining
413	3929	4992
414	3936	4979
415	3941	4964
416	3950	4954
417	3956	4941
418	3967	4933
419	3977	4924
420	3983	4911
421	3992	4900
422	4001	4890
423	4014	4885
424	4020	4871
425	4030	4863
426	4038	4851
427	4047	4842
428	4054	4829
429	4068	4825
430	4081	4820
431	4092	4813
432	4111	4813
433	4119	4803
434	4133	4798
435	4144	4790
436	4155	4782
437	4169	4778
438	4182	4773
439	4202	4775
440	4240	4798
441	4265	4805
442	4279	4801
443	4296	4799
444	4310	4795
445	4321	4786
446	4330	4775
447	4342	4769
448	4350	4756
449	4361	4748
450	4372	4740
451	4379	4728
452	4388	4717
453	4396	4706
454	4402	4692
455	4409	4680
456	4419	4671
457	4427	4659
458	4437	4649
459	4451	4645
460	4460	4635
461	4467	4621
462	4474	4609
463	4484	4600
464	4491	4587
465	4498	4575
466	4506	4564
467	4514	4552
468	4517	4537
469	4523	4523
470	4530	4511
471	4538	4499
472	4545	4487
473	4553	4476
474	4563	4466
475	4570	4455
476	4578	4444
477	4586	4432
478	4595	4422
479	4604	4412
480	4607	4397
481	4618	4388
482	4625	4376
483	4632	4364
484	4638	4351
485	4648	4342
486	4655	4330
487	4665	4321
488	4667	4304
489	4672	4291
490	4681	4281
491	4689	4270
492	4693	4255
493	4698	4242
494	4705	4230
495	4713	4219
496	4721	4208
497	4731	4199
498	4740	4189
499	4748	4178
500	4762	4172
501	4768	4160
502	4777	4150
503	4785	4140
504	4793	4129
505	4798	4115
506	4809	4107
507	4819	4098
508	4828	4088
509	4837	4078
510	4846	4068
511	4860	4063
512	4875	4058
513	4891	4054
514	4905	4048
515	4918	4041
516	4937	4039
517	4960	4041
518	4985	4043
519	4995	4034
520	5008	4027
521	5018	4018
522	5025	4006
523	5039	4000
524	5052	3993
525	5067	3988
526	5076	3978
527	5087	3969
528	5097	3960
529	5104	3948
530	5114	3939
531	5121	3927
532	5126	3914
533	5136	3905
534	5141	3892
535	5151	3883
536	5155	3869
537	5168	3861
538	5173	3849
539	5184	3840
540	5195	3831
541	5203	3820
542	5213	3811
543	5219	3799
544	5227	3788
545	5234	3777
546	5242	3766
547	5249	3755
548	5258	3745
549	5266	3734
550	5273	3722
551	5281	3712
552	5290	3702
553	5298	3691
554	5305	3680
555	5313	3669
556	5319	3658
557	5326	3646
558	5334	3635
559	5342	3624
560	5348	3613
561	5355	3601
562	5362	3591
563	5367	3578
564	5375	3567
565	5382	3556
566	5392	3547
567	5400	3536
568	5411	3528
569	5421	3519
570	5428	3508
571	5436	3497
572	5443	3486
573	5451	3476
574	5460	3465
575	5468	3456
576	5476	3445
577	5481	3433
578	5490	3423
579	5497	3412
580	5505	3401
581	5511	3390
582	5518	3379
583	5526	3368
584	5535	3359
585	5543	3348
586	5552	3339
587	5559	3328
588	5564	3316
589	5570	3304
590	5577	3293
591	5586	3283
592	5593	3272
593	5601	3262
594	5608	3251
595	5615	3241
596	5621	3229
597	5629	3219
598	5638	3209
599	5646	3199
600	5653	3188
601	5659	3177
602	5669	3168
603	5676	3157
604	5683	3147
605	5690	3136
606	5697	3125
607	5704	3115
608	5711	3104
609	5719	3094
610	5724	3082
611	5734	3073
612	5741	3062
613	5751	3053
614	5760	3044
615	5771	3035
616	5783	3027
617	5791	3017
618	5800	3008
619	5808	2997
620	5816	2987
621	5823	2977
622	5831	2967
623	5839	2957
624	5848	2947
625	5856	2937
626	5863	2927
627	5871	2917
628	5881	2907
629	5888	2897
630	5897	2887
631	5904	2877
632	5914	2868
633	5921	2857
634	5929	2847
635	5935	2837
636	5944	2827
637	5950	2816
638	5961	2808
639	5970	2798
640	5976	2787
641	5983	2777
642	5997	2770
643	5999	2757
644	6004	2746
645	6012	2736
646	6019	2725
647	6027	2716
648	6035	2706
649	6041	2695
650	6049	2685
651	6056	2675
652	6061	2663
653	6067	2653
